year,district,school,district_name,school_name,subject,grade,subgroup,valid_tests,pct_below_bsc,pct_bsc,pct_bsc_and_below,pct_prof,pct_adv,pct_prof_adv
2013,10,0,Anderson County,District,Math,3rd through 8th,All Students,3017,15.7,34.4,50.1,30,19.9,49.9
2013,10,0,Anderson County,District,Math,3rd through 8th,White,2916,15.5,34.5,50,30.1,19.9,50
2013,10,0,Anderson County,District,Math,3rd through 8th,Hispanic,16,6.2,25,31.2,31.3,37.5,68.8
2013,10,0,Anderson County,District,Math,3rd through 8th,Black,71,29.6,35.2,64.8,22.5,12.7,35.2
2013,10,0,Anderson County,District,Math,3rd through 8th,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd through 8th,Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd through 8th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,Math,3rd through 8th,Economically Disadvantaged,1843,19.9,39.1,59,28.1,12.9,41
2013,10,0,Anderson County,District,Math,3rd through 8th,Students with Disabilities,555,40.6,37.1,77.7,14.4,7.9,22.3
2013,10,0,Anderson County,District,Math,3rd through 8th,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd through 8th,Black/Hispanic/Native American,92,26.1,32.6,58.7,23.9,17.4,41.3
2013,10,0,Anderson County,District,Math,3rd,All Students,452,9.2,38.5,47.7,38.1,14.2,52.3
2013,10,0,Anderson County,District,Math,3rd,White,439,9.3,38,47.3,38.3,14.4,52.7
2013,10,0,Anderson County,District,Math,3rd,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd,Black,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd,Native American,,,,,,,
2013,10,0,Anderson County,District,Math,3rd,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,Math,3rd,Economically Disadvantaged,307,12,46.3,58.3,34.2,7.5,41.7
2013,10,0,Anderson County,District,Math,3rd,Students with Disabilities,95,23.1,49.5,72.6,17.9,9.5,27.4
2013,10,0,Anderson County,District,Math,3rd,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,3rd,Black/Hispanic/Native American,11,9.1,54.5,63.6,27.3,9.1,36.4
2013,10,0,Anderson County,District,Math,7th,All Students,579,18.5,31.8,50.3,28.3,21.4,49.7
2013,10,0,Anderson County,District,Math,7th,White,551,17.8,31.9,49.7,28.5,21.8,50.3
2013,10,0,Anderson County,District,Math,7th,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,7th,Black,22,36.4,27.3,63.7,22.7,13.6,36.3
2013,10,0,Anderson County,District,Math,7th,Asian,,,,,,,
2013,10,0,Anderson County,District,Math,7th,Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Math,7th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,Math,7th,Economically Disadvantaged,333,25,33.9,58.9,26.7,14.4,41.1
2013,10,0,Anderson County,District,Math,7th,Students with Disabilities,99,46.4,26.3,72.7,16.2,11.1,27.3
2013,10,0,Anderson County,District,Math,7th,English Language Learners,*,*,*,*,*,*,*
