SCHOOL YEAR,DISTRICT ID,district name,Math 3yr Average NCE,Math Grade,Math Trend,Reading 3yr Average NCE,Reading Grade,Reading Trend,Social Studies 3yr Average NCE,Social Studies Grade,Social Studies Trend,Science 3yravg cur,Science Grade,Science Trend,ACT 3yr composite,ACT 3yr english,ACT 3yr math,ACT 3yr Reading,ACT 3yr science,ACT 1yr composite,ACT 1yr english,ACT 1yr math,ACT 1yr Reading,ACT 1yr science
2013,000,State of Tennessee,55,A,+,51,B,NC,56,A,+,52,B,NC,19,18.7,18.7,19.3,19.1,19.1,18.8,18.6,19.3,19.1
2013,010,Anderson County,55,A,+,50,B,+,57,A,+,53,B,NC,18.9,18.4,18.7,18.8,19.1,18.9,18.5,18.8,18.8,19
2013,011,Clinton,62,A,NC,59,A,NC,64,A,NC,64,A,NC,,,,,,,,,,
2013,012,Oak Ridge,60,A,NC,57,A,NC,62,A,NC,59,A,NC,23,22.7,22.7,23.1,22.8,22.6,22.4,22.2,22.8,22.6
2013,020,Bedford County,54,B,NC,50,B,+,54,B,NC,50,B,+,18.6,18.4,18.1,18.7,18.5,18,17.4,18,18,17.9
2013,030,Benton County,54,B,NC,49,C,NC,55,A,+,53,B,NC,19,18.4,18.6,19.3,19,18.4,17.7,18.4,18.5,18.4
2013,040,Bledsoe County,53,B,NC,46,C,NC,53,B,NC,51,B,NC,18.6,17.8,18.5,18.8,18.9,18.4,17,18.2,19,19
2013,050,Blount County,56,A,+,52,B,NC,57,A,+,54,B,NC,19.5,19.1,19.1,19.9,19.4,19.8,19.4,19.7,20.3,19.6
2013,051,Alcoa,56,A,+,56,A,NC,59,A,NC,56,A,+,22,22.4,21.1,22.3,21.8,21.6,21.8,20.9,22,21.3
2013,052,Maryville,64,A,NC,64,A,NC,68,A,NC,67,A,NC,23.6,24.2,23.1,23.7,23.1,22.9,23.2,22.5,23,22.3
2013,060,Bradley County,56,A,+,53,B,NC,57,A,NC,53,B,NC,18.5,18,17.9,19,18.6,18.2,17.5,17.7,18.7,18.5
2013,061,Cleveland,53,B,NC,50,B,+,52,B,NC,49,C,NC,20.1,19.8,19.7,20.5,19.8,19.5,19.2,19.3,19.9,19.1
2013,070,Campbell County,51,B,+,45,C,+,45,C,+,43,D,NC,17.6,17,16.9,18,17.9,17.3,16.7,16.7,17.6,17.7
2013,080,Cannon County,49,C,NC,48,C,NC,52,B,NC,50,B,+,17.8,17,17.6,18.3,17.8,17.3,16.6,16.9,17.8,17.4
2013,090,Carroll County,,,,,,,,,,,,,,,,,,,,,,
2013,092,Hollow Rock - Bruceton,53,B,NC,48,C,NC,49,C,NC,48,C,NC,17.7,16.7,18,18.1,17.5,17.8,16.8,18.1,18.2,17.3
2013,093,Huntingdon,62,A,NC,53,B,NC,56,A,+,52,B,+,19.5,19.3,18.9,19.7,19.5,19.6,19.3,19,19.9,19.6
2013,094,McKenzie,61,A,NC,56,A,NC,61,A,NC,61,A,NC,19.3,19.2,18.5,19.5,19.4,18.3,18,17.9,18.6,18
2013,095,South Carroll,57,A,+,54,B,NC,56,A,+,54,B,NC,18.9,18.8,17.9,19.7,19.1,19,18.7,17.8,20,19.3
2013,097,West Carroll Sp Dist,54,B,NC,53,B,NC,59,A,NC,56,A,+,18.3,17.9,18.2,18.3,18.3,18.2,17.8,18.3,18.5,17.8
2013,100,Carter County,51,B,+,49,C,NC,54,B,NC,51,B,NC,17.8,17.4,17.1,18.3,17.9,17.6,17.2,17,18,17.7
2013,101,Elizabethton,57,A,+,54,B,NC,60,A,NC,58,A,NC,20.4,20.9,19.2,21.1,20,20.5,20.9,19.6,21.1,19.9
2013,110,Cheatham County,55,A,+,52,B,NC,58,A,NC,57,A,NC,19.2,18.7,18.8,19.4,19.3,18.7,18.1,18.4,19,18.8
2013,120,Chester County,58,A,+,51,B,NC,57,A,NC,55,A,+,19.1,19.5,17.9,19.4,19.1,18.8,19.3,17.7,19,18.7
2013,130,Claiborne County,53,B,+,48,C,NC,50,B,+,48,C,NC,17.9,17.5,17.3,18.3,18.1,17.4,16.7,17,17.9,17.6
2013,140,Clay County,50,B,+,45,C,+,50,B,+,48,C,NC,18.2,17.6,17.9,18.7,18.2,18.4,17.9,17.7,19.1,18.6
2013,150,Cocke County,60,A,NC,49,C,NC,53,B,NC,51,B,+,17.9,17.3,17.8,18.2,17.8,17.6,16.8,17.6,17.7,17.6
2013,151,Newport,63,A,NC,58,A,NC,70,A,NC,66,A,NC,,,,,,,,,,
2013,160,Coffee County,53,B,+,51,B,+,55,A,+,52,B,NC,19.1,18.8,18.6,19.5,19.1,18.6,18.1,18.2,19.1,18.5
2013,161,Manchester,53,B,NC,54,B,NC,60,A,NC,56,A,+,,,,,,,,,,
2013,162,Tullahoma,57,A,NC,52,B,NC,57,A,NC,53,B,NC,20.8,20.5,20.9,20.6,20.6,20.6,20.3,20.9,20.4,20.4
2013,170,Crockett County,53,B,NC,48,C,NC,53,B,NC,50,B,+,18.6,18.5,18,19,18.7,18.3,18.1,17.3,18.9,18.6
2013,171,Alamo,62,A,NC,59,A,NC,60,A,NC,62,A,NC,,,,,,,,,,
2013,172,Bells,56,A,+,53,B,NC,59,A,NC,55,A,+,,,,,,,,,,
2013,180,Cumberland County,59,A,NC,54,B,NC,58,A,NC,55,A,+,19.1,18.5,18.8,19.6,19,19.1,18.3,19,19.7,19.2
2013,190,Davidson County,50,B,+,46,C,NC,49,C,NC,45,C,+,18.2,17.8,17.8,18.4,18.4,18.2,17.7,17.8,18.4,18.4
2013,200,Decatur County,56,A,+,51,B,NC,58,A,NC,57,A,+,18.6,18.3,18,18.9,18.5,18,17.4,17.3,18.2,18.4
2013,210,DeKalb County,53,B,NC,52,B,NC,54,B,NC,54,B,NC,18.3,18.1,17.5,18.6,18.6,18.4,18,17.5,18.8,18.7
2013,220,Dickson County,60,A,NC,57,A,NC,62,A,NC,60,A,NC,19.5,19.7,18.6,19.7,19.6,19.3,19.1,18.5,19.7,19.4
2013,230,Dyer County,59,A,NC,52,B,NC,57,A,NC,55,A,+,19.5,19.7,18.8,19.4,19.7,19.2,19,18.5,19.1,19.6
2013,231,Dyersburg,56,A,+,49,C,NC,51,B,NC,48,C,NC,20.3,20.6,20.1,20.1,20,20.4,20.6,20.1,20.2,20.2
2013,240,Fayette County,46,C,+,42,D,NC,45,C,+,41,D,NC,16.3,15.7,16.1,16.3,16.6,16,15.1,16.2,15.9,16.3
2013,250,Fentress County,51,B,+,48,C,NC,51,B,NC,51,B,+,18.2,18.3,17.1,18.7,18.3,18.8,19.6,17.2,19.3,18.6
2013,260,Franklin County,53,B,NC,50,B,NC,55,A,NC,52,B,NC,18.8,18.5,18.2,19.1,18.7,18.8,18.6,18,19.3,18.7
2013,271,Humboldt,54,B,NC,42,D,NC,44,D,NC,42,D,+,16.1,14.8,16.4,15.8,16.8,15.4,13.7,15.7,15.1,16.9
2013,272,Milan,59,A,NC,50,B,NC,53,B,NC,52,B,NC,19.8,19.7,19.3,19.9,19.5,19.3,18.7,19.2,19.5,19.2
2013,273,Trenton,54,B,NC,49,C,NC,53,B,NC,51,B,+,18.4,18.4,17.8,18.8,18.2,18.2,18.2,17.5,18.8,17.8
2013,274,Bradford,64,A,NC,54,B,NC,61,A,NC,58,A,+,19,18.8,19.4,18.9,18.3,19.5,18.9,20.3,19.1,18.7
2013,275,Gibson Co Sp Dist,63,A,NC,57,A,NC,61,A,NC,62,A,NC,18.8,18.9,18.4,18.7,18.5,18.7,18.6,18.5,18.6,18.5
2013,280,Giles County,49,C,NC,49,C,NC,53,B,NC,50,B,+,18.2,17.7,17.5,18.7,18.4,18,17.4,17.5,18.6,18.2
2013,290,Grainger County,53,B,NC,46,C,NC,51,B,+,50,B,+,18.1,17.7,17.8,18.2,18.3,18.4,18.2,17.9,18.7,18.3
2013,300,Greene County,53,B,NC,48,C,NC,53,B,NC,50,B,+,18.7,18.1,18.6,18.9,18.8,18.9,18.3,18.8,19.1,18.8
2013,301,Greeneville,61,A,NC,58,A,NC,62,A,NC,60,A,NC,21.6,21.1,21.5,22,21.4,20.4,19.8,20.3,20.7,20.3
2013,310,Grundy County,49,C,NC,45,C,+,49,C,NC,47,C,NC,17.3,16.8,17.3,17.4,17.3,17.4,17.1,17.1,17.7,17.1
2013,320,Hamblen County,57,A,+,53,B,NC,58,A,NC,55,A,+,19.8,19.4,19.6,20,19.7,20,19.6,19.7,20,20
2013,330,Hamilton County,56,A,+,49,C,NC,54,B,NC,51,B,+,18.8,18.4,18.4,19,18.9,18.7,18.3,18.4,19,18.9
2013,340,Hancock County,48,C,NC,40,D,NC,47,C,NC,41,D,NC,17.1,16.4,17.1,17,17.3,17.8,17.6,17.4,17.8,18
2013,350,Hardeman County,52,B,+,46,C,+,50,B,+,46,C,+,16.8,16.1,17,16.8,17,16.9,15.9,17.1,17.1,17.1
2013,360,Hardin County,52,B,NC,50,B,NC,56,A,+,54,B,NC,18.7,18.6,18.2,19.2,18.3,18.5,18.5,18,19.1,18
2013,370,Hawkins County,54,B,NC,50,B,+,54,B,NC,51,B,+,18.2,17.7,17.7,18.5,18.4,18,17.4,17.7,18.1,18.1
2013,371,Rogersville,60,A,NC,60,A,NC,70,A,NC,60,A,NC,,,,,,,,,,
2013,380,Haywood County,47,C,+,41,D,NC,43,D,NC,38,F,NC,17.4,17.1,17.5,17.4,17.2,17.3,17.1,17.5,17.2,17.2
2013,390,Henderson County,62,A,NC,54,B,NC,58,A,NC,56,A,+,19,18.8,18.4,19.2,19,18.7,18.4,17.9,19.2,18.9
2013,391,Lexington,62,A,NC,56,A,+,62,A,NC,60,A,NC,,,,,,,,,,
2013,400,Henry County,61,A,NC,53,B,NC,61,A,NC,58,A,+,19,18.4,18.4,19.4,19.2,19.1,18.6,18.6,19.4,19.4
2013,401,Paris,61,A,NC,53,B,NC,63,A,NC,63,A,NC,,,,,,,,,,
2013,410,Hickman County,55,A,+,50,B,+,54,B,NC,51,B,+,17.9,17.4,17,18.3,18.1,18.1,17.8,17.2,18.6,18.4
2013,420,Houston County,54,B,NC,48,C,NC,54,B,NC,53,B,NC,18.6,18.3,17.8,18.9,18.9,18.8,18.4,18,19.2,19
2013,430,Humphreys County,54,B,NC,51,B,NC,56,A,NC,54,B,NC,19,19,18,19.5,19.1,19.1,18.8,18.2,19.8,19.2
2013,440,Jackson County,50,B,+,47,C,NC,56,A,+,54,B,NC,18.1,17.6,17.6,18.3,18.1,18.8,18.4,18.1,19.1,18.9
2013,450,Jefferson County,53,B,NC,48,C,NC,54,B,NC,51,B,+,18.8,18.4,18.1,19.3,18.8,19.8,19.5,19.1,20,19.9
2013,460,Johnson County,57,A,NC,52,B,NC,59,A,NC,55,A,NC,17.8,16.8,17.3,18.4,18.2,18,16.9,17.4,18.7,18.5
