SCHOOL YEAR,District,District Name,K 8 Attendance Rate PCT,K 8 Promotion Rate PCT,State Goal Attendance Rate,State Goal Promotion Rate,Attendance Rate PCT,Cohort Dropout  PCT,Graduation Rate NCLB PCT,Event Dropout PCT,All grad rate,White grad rate,African American grad rate,Hispanic grad rate,Asian grad rate,Native American grad rate,Male grad rate,Female grad rate,Economically Disadvantaged grad rate,Students with Disabilities grad rate,Limited English Proficient grad rate,
2013,000,State of Tennessee,95.4,98.2,,,94.4,7.3,86.3,2.7,86.3,89.8,77.8,81.3,90.3,83.5,83.5,89.2,80.7,67.3,72.8,
2013,010,Anderson County,88.6,99.4,,,94.7,4.8,91.3,0.8,91.3,91.7,,,,,89.3,93.4,86.9,75.6,,
2013,011,Clinton,95.6,99.0,,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,97.0,100.0,,,95.0,2.3,85.4,1.2,85.4,84.8,87.3,81.3,93.3,,85.1,85.9,78.4,73.3,,
2013,020,Bedford County,95.7,97.6,,,94.7,7.0,89.0,1.5,89.0,87.9,93.6,93.2,,,85.5,92.7,84.9,65.1,84.0,
2013,030,Benton County,95.9,98.9,,,95.1,5.3,87.7,1.2,87.7,87.3,,,,,85.1,90.5,83.6,91.3,,
2013,040,Bledsoe County,93.2,99.3,,,93.6,5.2,89.6,0.8,89.6,89.0,,,,,88.1,91.1,87.8,70.6,,
2013,050,Blount County,94.6,98.7,,,92.3,6.4,91.4,1.9,91.4,91.7,78.9,93.3,,,88.8,93.7,87.0,71.2,,
2013,051,Alcoa,96.0,98.3,,,96.7,0.7,98.5,0.2,98.5,98.1,100.0,,,,98.7,98.3,96.9,100.0,,
2013,052,Maryville,95.9,99.1,,,97.5,3.3,94.7,0.9,94.7,95.4,85.7,,100.0,,93.7,95.9,89.2,89.7,,
2013,060,Bradley County,95.6,99.1,,,96.1,6.8,89.8,1.6,89.8,89.8,87.5,95.0,,,88.2,91.7,84.5,70.6,,
2013,061,Cleveland,94.6,99.5,,,93.7,8.1,85.8,1.2,85.8,86.5,82.5,87.2,,,82.7,89.5,82.4,74.0,69.2,
2013,070,Campbell County,94.9,11.8,,,90.3,5.3,80.7,0.9,80.7,81.0,,,,,78.0,83.6,76.8,69.7,,
2013,080,Cannon County,95.9,97.8,,,94.9,12.0,82.9,2.8,82.9,82.6,,,,,81.1,85.3,79.8,38.9,,
2013,090,Carroll County,,,,,80.0,55.6,0.0,90.9,0.0,,,,,,,,,,,
2013,092,Hollow Rock - Bruceton,95.6,97.0,,,97.0,2.0,96.1,1.3,96.1,95.6,,,,,93.3,100.0,94.3,,,
2013,093,Huntingdon,96.2,99.2,,,96.9,0.0,100.0,1.0,100.0,100.0,,,,,100.0,100.0,100.0,,,
2013,094,McKenzie,96.2,99.5,,,97.6,4.3,95.7,1.4,95.7,95.1,,,,,94.4,97.1,93.3,,,
2013,095,South Carroll,95.9,,,,96.6,4.3,87.0,0.7,87.0,90.9,,,,,90.9,83.3,78.6,,,
2013,097,West Carroll Sp Dist,95.1,,,,94.6,7.0,91.5,2.0,91.5,90.0,100.0,,,,91.9,91.2,88.9,60.0,,
2013,100,Carter County,95.2,97.8,,,92.8,3.6,90.8,2.6,90.8,91.1,,,,,88.8,92.9,90.3,79.5,,
2013,101,Elizabethton,95.1,97.4,,,95.2,3.3,93.9,0.9,93.9,94.8,100.0,,,,93.1,94.6,90.9,70.6,,
2013,110,Cheatham County,94.7,97.6,,,92.1,6.4,86.1,1.9,86.1,85.8,,85.7,,,83.0,89.5,81.2,81.8,,
2013,120,Chester County,94.8,87.7,,,93.9,4.0,93.5,0.8,93.5,94.6,92.3,,,,92.1,94.9,92.0,75.0,,
2013,130,Claiborne County,93.8,98.9,,,91.5,6.2,88.6,1.9,88.6,88.2,,,,,89.7,87.3,85.6,76.7,,
2013,140,Clay County,95.7,100.0,,,95.5,2.9,95.7,0.7,95.7,95.3,,,,,94.9,96.8,93.5,91.7,,
2013,150,Cocke County,95.1,98.5,,,92.5,5.3,89.7,1.6,89.7,89.6,94.1,,,,89.8,89.5,90.2,81.8,,
2013,151,Newport,99.0,0.0,,,,,,,,,,,,,,,,,,
2013,160,Coffee County,94.6,98.5,,,93.8,5.7,91.5,2.3,91.5,91.3,100.0,93.8,,,90.4,92.5,87.2,66.7,,
2013,161,Manchester,96.1,98.0,,,,100.0,0.0,,0.0,,,,,,,,,,,
