YEAR,DISTRICT,DISTRICT NAME,Grades served,Number of schools,Administrators,Teachers,Average Daily Membership,Total,White,African American,Hispanic,Asian,Native American,Male,Female,White PCT,African American PCT,Hispanic PCT,Asian PCT,Native American PCT,Male PCT,Female PCT,White Male,African American Male,Hispanic Male,Asian Male,Native American Male,White Female,African American Female,Hispanic Female,Asian Female,Native American Female,Limited English Proficient PCT,Limited English Proficient,Number Exempt from Reading Assessment,Students with Disabilities,Students with Disabilities PCT,Free eligible,Reduced eligible,Free reduced eligible,Free PCT,Reduced PCT,Free reduced PCT,Title I,Title I PCT,Per Pupil Expenditures per ADA,Local Funding PCT,Federal Funding PCT,State Funding PCT,State Per Pupil Expenditures per ADA,State Local Funding PCT,State Federal Funding PCT,State State Funding PCT
2013,0,State of Tennessee,PK-12,1804,4957,65105,940654,993256,658229,239345,72363,18832,2934,510222,483029,66.3,24.1,7.3,1.9,0.3,51.4,48.6,339663,121447,37479,,1528,318564,117890,34884,,1395,4.3,43069,390,135923,13.7,506963,69472,576435,51.6,7.1,58.6,,,9293,40.1,11.3,48.7,9293,40.1,11.3,48.7
2013,10,Anderson County,PK-12,17,46,561,6463,6855,6582,174,48,32,15,3551,3304,96,2.5,0.7,0.5,0.2,51.8,48.2,3404,97,,,,3175,61,14,,,0.2,14,,1212,17.7,3343,602,3945,48.8,8.8,57.5,2393,34.9,10084.88,36.7,15,48.3,9293,40.1,11.3,48.7
2013,11,Clinton,PK-6,3,8,67,889,926,845,43,23,12,,489,437,91.3,4.6,2.5,1.3,,52.8,47.2,449,,,,,395,13,,,,,,,143,15.4,460,104,564,49.7,11.2,60.9,889,96,9412.33,40.6,8.8,50.5,9293,40.1,11.3,48.7
2013,12,Oak Ridge,K-12,7,31,336,4370,4469,3189,720,327,190,31,2312,2157,71.4,16.1,7.3,4.3,0.7,51.7,48.3,1653,378,158,,,1533,336,141,,,3.5,157,10,695,15.6,1767,331,2098,39.6,7.4,47,419,9.4,12075.26,54.3,6.8,38.9,9293,40.1,11.3,48.7
2013,20,Bedford County,PK-12,14,51,570,8038,8249,5716,867,1555,69,40,4253,3996,69.3,10.5,18.9,0.8,0.5,51.6,48.4,2957,454,764,,14,2749,403,776,,,9.4,779,10,936,11.3,4910,545,5455,59.6,6.6,66.2,5821,70.6,7881.85,20.8,11.7,67.5,9293,40.1,11.3,48.7
2013,30,Benton County,PK-12,8,17,168,2186,2293,2128,90,50,16,,1208,1085,92.8,3.9,2.2,0.7,,52.7,47.3,1123,29,15,,,999,30,15,,,0.7,16,,424,18.5,1293,232,1525,56.3,10.1,66.4,1623,70.8,9304.93,31.5,9.9,58.6,9293,40.1,11.3,48.7
2013,40,Bledsoe County,PK-12,5,10,131,1796,2027,1856,26,121,,14,1088,939,91.6,1.3,6,,0.7,53.7,46.3,984,11,58,,,869,,50,,,2.5,51,,440,21.7,1466,233,1699,72.3,11.5,83.8,1263,62.3,9563.25,16.3,15.1,68.6,9293,40.1,11.3,48.7
2013,50,Blount County,PK-12,20,42,741,10524,11403,10600,305,368,78,49,5800,5603,93,2.7,3.2,0.7,0.4,50.9,49.1,5382,156,176,,13,5217,130,175,,20,1.5,173,,1453,12.7,5002,803,5805,43.9,7,50.9,5377,47.2,8958.95,39.5,8.2,52.3,9293,40.1,11.3,48.7
2013,51,Alcoa,PK-12,3,10,124,1783,1867,1277,390,172,19,,999,868,68.4,20.9,9.2,1,,53.5,46.5,692,194,72,,,578,187,78,,,4.7,87,,225,12.1,801,159,960,43.1,8.5,51.6,666,35.7,10545.62,53,5.8,41.2,9293,40.1,11.3,48.7
2013,52,Maryville,PK-12,7,21,336,4893,5029,4471,235,151,144,18,2576,2453,88.9,4.7,3,2.9,0.4,51.2,48.8,2290,113,59,,,2175,108,59,,,2.5,128,10,629,12.5,1466,338,1804,29.2,6.7,35.9,959,19.1,9823.26,54.3,4.8,40.9,9293,40.1,11.3,48.7
