SCHOOL YEAR,District,District Name,SCHOOL ID,SCHOOL NAME,K-8 Attendance Rate %,K-8 Promotion Rate %,State Goal Attendance Rate,State Goal Promotion Rate,Attendance Rate %,Cohort Dropout  %,Graduation Rate NCLB %,Event Dropout %,All grad rate,White grad rate,African American grad rate,Hispanic grad rate,Asian grad rate,Native American grad rate,Male grad rate,Female grad rate,Economically Disadvantaged grad rate,Students with Disabilities grad rate,Limited English Proficient grad rate
2013,010,Anderson County,0002,Anderson County High School,,,,,94.7,3.4,93.2,0.4,93.2,93.6,,,,,91.0,96.1,90.8,76.7,
2013,010,Anderson County,0003,Anderson County Career  Technical Center,,,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0005,Andersonville Elementary,95.7,99.7,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0010,Briceville Elementary,94.7,100.0,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0015,Claxton Elementary,95.3,98.8,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0020,Clinton Middle School,95.4,99.7,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0025,Clinton High School,,,,,94.7,5.9,89.8,1.1,89.8,90.1,,,,,87.8,91.7,84.2,74.4,
2013,010,Anderson County,0035,Dutch Valley Elementary,94.6,99.3,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0040,Fairview Elementary,95.8,98.1,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0046,Grand Oaks Elementary,95.3,99.6,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0050,Lake City Elementary,94.7,99.6,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0055,Lake City Middle School,97.3,99.0,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0070,Norris Elementary,96.1,99.2,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0075,Norris Middle School,98.6,99.6,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0080,Norwood Elementary,95.4,99.6,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0085,Norwood Middle School,98.0,100.0,,,,,,,,,,,,,,,,,
2013,010,Anderson County,0105,Clinch River Community School,,,,,,,,,,,,,,,,,,,
2013,011,Clinton,0005,Clinton Elementary,96.0,98.8,,,,,,,,,,,,,,,,,
2013,011,Clinton,0010,North Clinton Elementary,93.6,98.6,,,,,,,,,,,,,,,,,
2013,011,Clinton,0015,South Clinton Elementary,95.5,99.6,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,0015,Glenwood Elementary,95.5,100.0,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,0025,Jefferson Middle School,99.4,100.0,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,0030,Linden Elementary,95.1,100.0,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,0035,Oak Ridge High School,,,,,95.0,2.3,85.4,1.2,85.4,84.8,87.3,81.3,93.3,,85.1,85.9,78.4,73.3,
2013,012,Oak Ridge,0040,Robertsville Middle School,98.3,100.0,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,0045,Willow Brook Elementary,94.5,100.0,,,,,,,,,,,,,,,,,
2013,012,Oak Ridge,0050,Woodland Elementary,96.5,100.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0012,Cascade Elementary,96.1,95.7,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0013,Cascade High School,,,,,94.3,5.5,89.8,0.8,89.8,91.3,,,,,84.4,95.2,84.4,68.2,
2013,020,Bedford County,0015,Eakin Elementary,95.6,98.4,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0017,Cascade Middle School,94.9,100.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0020,Shelbyville Central High School,,,,,94.6,7.2,89.7,1.9,89.7,87.0,95.3,94.9,,,87.3,91.9,86.2,68.6,81.8
2013,020,Bedford County,0025,Harris Middle School,96.0,100.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0033,Community Elementary School,95.5,97.7,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0035,Community High School,,,,,95.1,8.0,87.0,0.9,87.0,86.0,,,,,82.9,91.9,82.2,57.7,
2013,020,Bedford County,0037,Community Middle School,95.5,100.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0039,Learning Way Elementary,95.5,97.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0040,East Side Elementary,95.8,94.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0053,Liberty Elementary,95.9,98.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0075,South Side Elementary,95.0,93.0,,,,,,,,,,,,,,,,,
2013,020,Bedford County,0078,Thomas Magnet,96.7,100.0,,,,,,,,,,,,,,,,,
2013,030,Benton County,0004,Benton Co Adult High School,,,,,,,,,,,,,,,,,,,
2013,030,Benton County,0009,Benton County Career / Technical Center,,,,,,,,,,,,,,,,,,,
2013,030,Benton County,0010,Big Sandy School,96.1,100.0,,,97.1,0.0,80.0,1.7,80.0,78.3,,,,,71.4,90.9,72.2,,
2013,030,Benton County,0015,Briarwood School,96.1,100.0,,,,,,,,,,,,,,,,,
2013,030,Benton County,0020,Camden Elementary,95.5,93.9,,,,,,,,,,,,,,,,,
2013,030,Benton County,0025,Camden Central High School,,,,,94.5,6.2,89.0,1.1,89.0,88.9,,,,,87.7,90.4,85.9,95.0,
2013,030,Benton County,0027,Camden Jr High School,96.5,100.0,,,,,,,,,,,,,,,,,
2013,030,Benton County,0030,Holladay Elementary,94.4,98.9,,,,,,,,,,,,,,,,,
2013,040,Bledsoe County,0005,Bledsoe County High School,,,,,93.6,5.2,89.6,0.8,89.6,89.0,,,,,88.1,91.1,87.8,70.6,
2013,040,Bledsoe County,0006,Bledsoe County Middle School,92.0,99.8,,,,,,,,,,,,,,,,,
2013,040,Bledsoe County,0010,Cecil B Rigsby Elementary,94.0,99.5,,,,,,,,,,,,,,,,,
2013,040,Bledsoe County,0025,Mary V Wheeler Elementary,93.2,98.7,,,,,,,,,,,,,,,,,
2013,040,Bledsoe County,0030,Pikeville Elementary,93.8,99.1,,,,,,,,,,,,,,,,,
2013,050,Blount County,0022,Carpenters Elementary School,95.8,96.6,,,,,,,,,,,,,,,,,
2013,050,Blount County,0023,Carpenters Middle School,95.0,100.0,,,,,,,,,,,,,,,,,
2013,050,Blount County,0030,Eagleton Middle School,92.9,99.5,,,,,,,,,,,,,,,,,
