 Record Id,FIPS Code,ST Agency,LEA Id,LEA NCES,School No,SCH NCES,School Name,Sch Type,Wed Address,Phone,Mailing Add 1,Mailing Add 2,Mailing Add 3,City,State,Zip,Zip + 4,Location Addr 1,Location Add 2,Location Add 3,City,State,Zip,Charter Status
1,47,01,0010,4700090,0002,01871,Anderson County High School,1,,8654574716,130 Maverick CR,,,Clinton,TN,37716,,130 Maverick CR,,,Clinton,TN,37716,NO
2,47,01,0010,4700090,0003,00003,Anderson County Career Technical Center,3,,8654574205,140 Maverick CR,,,Clinton,TN,37716,,140 Maverick CR,,,Clinton,TN,37716,NO
3,47,01,0010,4700090,0005,00004,Andersonville Elementary,1,,8654947695,1951  Mountain  RD,,,Andersonville,TN,37705,,1951  Mountain  RD,,,Andersonville,TN,37705,NO
4,47,01,0010,4700090,0010,00005,Briceville Elementary,1,,8654262289,103 Slatestone RD,,,Briceville,TN,37710,,103 Slatestone RD,,,Briceville,TN,37710,NO
5,47,01,0010,4700090,0015,00006,Claxton Elementary,1,www.ces.acs.ac/,8659452222,2218  Clinton  HW,,,Powell,TN,37849,,2218  Clinton  HW,,,Powell,TN,37849,NO
6,47,01,0010,4700090,0020,00007,Clinton Middle School,1,www.cms.acs.ac/,8654573451,110  N  Hicks ST,,,Clinton,TN,37716,,110  N  Hicks ST,,,Clinton,TN,37716,NO
7,47,01,0010,4700090,0025,00008,Clinton High School,1,www.chs.acs.ac,8654572611,425  Dragon  DR,,,Clinton,TN,37716,,425  Dragon  DR,,,Clinton,TN,37716,NO
8,47,01,0010,4700090,0035,00011,Dutch Valley Elementary,1,,8654572599,1044  Old  Dutch Valley RD,,,Clinton,TN,37716,,1044  Old  Dutch Valley RD,,,Clinton,TN,37716,NO
9,47,01,0010,4700090,0040,00012,Fairview Elementary,1,www.fairview.k12.tn.us/,8654947959,6715  Hickory  Valley RD,,,Heiskell,TN,37754,,6715  Hickory  Valley RD,,,Heiskell,TN,37754,NO
10,47,01,0010,4700090,0046,02002,Grand Oaks Elementary,1,www.goes.acs.ac/,8654357506,1033  Oliver  Springs HW,,,Clinton,TN,37716,,1033  Oliver  Springs HW,,,Clinton,TN,37716,NO
11,47,01,0010,4700090,0050,00014,Lake City Elementary,1,,8654262108,402  Lindsay  ST,,,Lake City,TN,37769,,402  Lindsay  ST,,,Lake City,TN,37769,NO
12,47,01,0010,4700090,0055,00015,Lake City Middle School,1,,8654262609,1132  S  Main ST,,,Lake City,TN,37769,,1132  S  Main ST,,,Lake City,TN,37769,NO
13,47,01,0010,4700090,0070,00018,Norris Elementary,1,,8654947422,42 East Circle DR,,,Norris,TN,37828,,42 East Circle DR,,,Norris,TN,37828,NO
14,47,01,0010,4700090,0075,00019,Norris Middle School,1,,8654947171,#5 Norris Square ,,,Norris,TN,37828,,#5 Norris Square ,,,Norris,TN,37828,NO
15,47,01,0010,4700090,0080,00020,Norwood Elementary,1,,8654352519,809 Tri- County BL,,,Oliver Springs,TN,37840,,809 Tri- County BL,,,Oliver Springs,TN,37840,NO
16,47,01,0010,4700090,0085,00021,Norwood Middle School,1,,8654357749,803 Tri- County BL,,,Oliver Springs,TN,37840,,803 Tri- County BL,,,Oliver Springs,TN,37840,NO
17,47,01,0010,,0105,,Clinch River Community School,1,,8654577462,160 Maverick CR,,,Clinton,TN,37716,,160 Maverick CR,,,Clinton,TN,37716,NO
18,47,01,0011,4700720,0005,00271,Clinton Elementary,1,http://www.clintonschools.org/schools/ces/index.php,8654570616,210  N  Hicks ST,,,Clinton,TN,37716,,210  N  Hicks ST,,,Clinton,TN,37716,NO
19,47,01,0011,4700720,0010,00272,North Clinton Elementary,1,http://www.clintonschools.org/schools/nces/index.php,8654572784,305  Beets  ST,,,Clinton,TN,37716,,305  Beets  ST,,,Clinton,TN,37716,NO
20,47,01,0011,4700720,0015,01949,South Clinton Elementary,1,tp://www.clintonschools.org/schools/sces/index.php,8654572684,242  Hiway  DR,,,Clinton,TN,37716,,242  Hiway  DR,,,Clinton,TN,37716,NO
21,47,01,0012,4703240,0015,01393,Glenwood Elementary,1,,8654259401,125 Audubon RD,,,Oak Ridge,TN,37830,,125 Audubon RD,,,Oak Ridge,TN,37830,NO
22,47,01,0012,4703240,0025,01394,Jefferson Middle School,1,www.ortn.edu/jms/,8654259301,200  Fairbanks  RD,,,Oak Ridge,TN,37830,,200  Fairbanks  RD,,,Oak Ridge,TN,37830,NO
23,47,01,0012,4703240,0030,01395,Linden Elementary,1,,8654255701,700  Robertsville  RD,,,Oak Ridge,TN,37830,,700  Robertsville  RD,,,Oak Ridge,TN,37830,NO
24,47,01,0012,4703240,0035,01396,Oak Ridge High School,1,,8654259601,1450 Oak Ridge Turnpike ,,,Oak Ridge,TN,37830,,1450 Oak Ridge Turnpike ,,,Oak Ridge,TN,37830,NO
25,47,01,0012,4703240,0040,01397,Robertsville Middle School,1,,8654259201,245  Robertsville  RD,,,Oak Ridge,TN,37830,,245  Robertsville  RD,,,Oak Ridge,TN,37830,NO
26,47,01,0012,4703240,0043,01963,Preschool,1,,8654259101,304 New  York AV,P. O. Box 6588,,Oak Ridge,TN,37830,,304 New  York AV,P. O. Box 6588,,Oak Ridge,TN,37830,NO
27,47,01,0012,4703240,0045,01398,Willow Brook Elementary,1,,8654253201,298  Robertsville  RD,,,Oak Ridge,TN,37830,,298  Robertsville  RD,,,Oak Ridge,TN,37830,NO
28,47,01,0012,4703240,0050,01399,Woodland Elementary,1,,8654259501,168  Manhattan  AV,,,Oak Ridge,TN,37830,,168  Manhattan  AV,,,Oak Ridge,TN,37830,NO
29,47,01,0020,4700180,0012,00578,Cascade Elementary,1,,9313890031,2998  Fairfield  PK,,,Wartrace,TN,37183,,2998  Fairfield  PK,,,Wartrace,TN,37183,NO
30,47,01,0020,4700180,0013,00034,Cascade High School,1,volweb.utk.edu/Schools/bedford/cascade/Default.htm,9313899389,1165  Bell  Bckle/Wartrace ,,,Wartrace,TN,37183,,1165  Bell  Bckle/Wartrace ,,,Wartrace,TN,37183,NO
31,47,01,0020,4700180,0015,00035,Eakin Elementary,1,volweb.utk.edu/school/bedford/eakinele/index.htm,9316847852,1100  Glenoaks  RD,,,Shelbyville,TN,37160,,1100  Glenoaks  RD,,,Shelbyville,TN,37160,NO
32,47,01,0020,4700180,0017,02276,Cascade Middle School,1,,9313899389,1165 Bell Buckle Wartrace RD,,,Wartrace,TN,37183,,1165 Bell Buckle Wartrace RD,,,Wartrace,TN,37183,NO
33,47,01,0020,4700180,0020,00036,Shelbyville Central High School,1,volweb.utk.edu/Schools/bedford/centrahs/,9316845672,401  Eagle  BL,,,Shelbyville,TN,37160,,401  Eagle  BL,,,Shelbyville,TN,37160,NO
34,47,01,0020,4700180,0025,00037,Harris Middle School,1,volweb.utk.edu/Schools/bedford/harrisms/index.htm,9316845195,570 Eagle BL,,,Shelbyville,TN,37160,,570 Eagle BL,,,Shelbyville,TN,37160,NO
35,47,01,0020,4700180,0033,00582,Community Elementary School,1,,9316851417,3480 Highway  41a ,,,Unionville,TN,37180,,3480 Highway  41a ,,,Unionville,TN,37180,NO
36,47,01,0020,4700180,0035,00039,Community High School,1,www.bedfordk12tn.com/comm_h/default.htm,9316851418,100 Community Crossing ,,,Unionville,TN,37180,,100 Community Crossing ,,,Unionville,TN,37180,NO
37,47,01,0020,4700180,0037,02218,Community Middle School,1,,9316851426,3470 Hwy 41A RD,,,Unionville,TN,37180,,3470 Hwy 41A RD,,,Unionville,TN,37180,NO
38,47,01,0020,4700180,0039,02222,Learning Way Elementary,1,,9316851425,200 Learning Way DR,,,Shelbyville,TN,37160,,200 Learning Way DR,,,Shelbyville,TN,37160,NO
39,47,01,0020,4700180,0040,00040,East Side Elementary,1,volweb.utk.edu/school/bedford/esideele/index.htm,9316847112,421  Elliott  ST,,,Shelbyville,TN,37160,,421  Elliott  ST,,,Shelbyville,TN,37160,NO
40,47,01,0020,4700180,0053,00042,Liberty Elementary,1,volweb.utk.edu/Schools/bedford/liberty/liberty.htm,9316847809,500  Snell  RD,,,Shelbyville,TN,37160,,500  Snell  RD,,,Shelbyville,TN,37160,NO
41,47,01,0020,4700180,0075,00044,South Side Elementary,1,familyeducation.com/TN/Southside_Primary/,9316847545,903  Cannon  BL,,,Shelbyville,TN,37160,,903  Cannon  BL,,,Shelbyville,TN,37160,NO
