YEAR,DISTRICT,DISTRICT NAME,SCHOOL NO,SCHOOL NAME,Grades served,SAFE SCHOOL,Average Daily Membership,Total,White,African American,Hispanic,Asian,Native American,Male,Female,White PCT,African American PCT,Hispanic PCT,Asian PCT,Native American PCT,Male PCT,Female PCT,White Male,African American Male,Hispanic Male,Asian Male,Native American Male,White Female,African American Female,Hispanic Female,Asian Female,Native American Female,Limited English Proficient PCT,Limited English Proficient,Number Exempt from Reading Assessment,Students with Disabilities,Students with Disabilities PCT,Free eligible,Reduced eligible,Free reduced eligible,Free PCT,Reduced PCT,Free reduced PCT,Title I,Title I PCT
2013,00010,Anderson County,0002,Anderson County High School,9-12,Safe School,1004,1030,1014,,,,,544,486,98.4,,,,,52.8,47.2,535,,,,,479,,,,,,,,142,13.8,414,86,500,40.2,8.3,48.5,,
2013,00010,Anderson County,0003,Anderson County Career  Technical Center,9-12,Safe School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,00010,Anderson County,0005,Andersonville Elementary,Pre-Kindergarten-5,Safe School,302,335,328,,,,,174,161,97.9,,,,,51.9,48.1,171,,,,,153,,,,,,,,71,21.2,159,34,193,47.7,10.2,58.0,302,90.1
2013,00010,Anderson County,0010,Briceville Elementary,Pre-Kindergarten-5,Safe School,114,129,127,,,,,72,57,98.4,,,,,55.8,44.2,56,,,,,50,,,,,,,,28,21.7,100,13,113,77.5,10.1,87.6,114,88.4
2013,00010,Anderson County,0015,Claxton Elementary,Pre-Kindergarten-5,Safe School,557,619,557,46,11,,,321,298,90.0,7.4,1.8,,,51.9,48.1,280,18,,,,271,11,,,,,,,116,18.7,375,64,439,60.6,10.3,70.9,557,90.0
2013,00010,Anderson County,0020,Clinton Middle School,6-8,Safe School,670,687,644,33,,,,371,316,93.7,4.8,,,,54.0,46.0,345,12,,,,299,,,,,,,,120,17.5,323,55,378,47.0,8.0,55.0,,
2013,00010,Anderson County,0025,Clinton High School,9-12,Safe School,1140,1170,1119,33,,,,587,583,95.6,2.8,,,,50.2,49.8,562,11,,,,556,12,,,,,,,150,12.8,472,100,572,40.3,8.5,48.9,,
2013,00010,Anderson County,0035,Dutch Valley Elementary,Pre-Kindergarten-5,Safe School,147,163,157,,,,,85,78,96.3,,,,,52.1,47.9,78,,,,,69,,,,,,,,41,25.2,109,16,125,66.9,9.8,76.7,147,90.2
2013,00010,Anderson County,0040,Fairview Elementary,Pre-Kindergarten-5,Safe School,263,297,284,,,,,144,153,95.6,,,,,48.5,51.5,138,,,,,138,,,,,,,,64,21.5,118,38,156,39.6,12.8,52.3,263,88.6
2013,00010,Anderson County,0046,Grand Oaks Elementary,Pre-Kindergarten-5,Safe School,254,276,266,,,,,146,130,96.4,,,,,52.9,47.1,142,,,,,116,,,,,,,,64,23.2,157,17,174,56.7,6.1,62.8,254,92.0
2013,00010,Anderson County,0050,Lake City Elementary,Pre-Kindergarten-5,Safe School,473,531,511,,,,,256,275,96.2,,,,,48.2,51.8,234,,,,,258,,,,,,,,114,21.5,331,37,368,62.3,7.0,69.3,473,89.1
2013,00010,Anderson County,0055,Lake City Middle School,6-8,Safe School,297,300,293,,,,,147,153,97.7,,,,,49.0,51.0,142,,,,,137,,,,,,,,43,14.3,180,35,215,60.0,11.7,71.7,,
2013,00010,Anderson County,0070,Norris Elementary,Pre-Kindergarten-5,Safe School,257,273,267,,,,,141,132,97.8,,,,,51.6,48.4,131,,,,,117,,,,,,,,35,12.8,70,18,88,25.6,6.6,32.2,,
2013,00010,Anderson County,0075,Norris Middle School,6-8,Safe School,503,522,515,,,,,280,242,98.7,,,,,53.6,46.4,277,,,,,231,,,,,,,,99,19.0,177,48,225,33.9,9.2,43.1,,
2013,00010,Anderson County,0080,Norwood Elementary,Pre-Kindergarten-5,Safe School,283,316,299,11,,,,169,147,94.6,3.5,,,,53.5,46.5,156,,,,,135,,,,,,,,73,23.1,230,21,251,72.8,6.6,79.4,283,89.6
2013,00010,Anderson County,0085,Norwood Middle School,6-8,Safe School,198,207,201,,,,,114,93,97.1,,,,,55.1,44.9,104,,,,,88,,,,,,,,52,25.1,128,20,148,61.8,9.7,71.5,,
2013,00010,Anderson County,0105,Clinch River Community School,Kindergarten-12,Safe School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,00011,Clinton,0005,Clinton Elementary,Pre-Kindergarten-6,Safe School,505,523,458,35,16,12,,272,251,87.6,6.7,3.1,2.3,,52.0,48.0,232,,,,,202,,,,,,,,56,10.7,221,72,293,42.3,13.8,56.0,505,96.6
