year,system,system_name,school,school_name,subject,grade,subgroup,valid_tests,n_below_bsc,n_bsc,n_prof,n_adv,pct_below_bsc,pct_bsc,pct_prof,pct_adv,pct_bsc_and_below,pct_prof_adv
2013,0,State,0,State,Math,All Grades,All Students,434981,68992,149658,133534,82797,15.9,34.4,30.7,19,50.3,49.7
2013,0,State,0,State,Math,All Grades,White,290921,35991,92427,96482,66021,12.3,31.8,33.2,22.7,44.1,55.9
2013,0,State,0,State,Math,All Grades,Hispanic,30386,5307,11946,9087,4046,17.5,39.3,29.9,13.3,56.8,43.2
2013,0,State,0,State,Math,All Grades,Black,103926,26967,43151,24830,8978,26,41.5,23.9,8.6,67.5,32.5
2013,0,State,0,State,Math,All Grades,Asian,7936,463,1515,2544,3414,5.8,19.1,32.1,43,24.9,75.1
2013,0,State,0,State,Math,All Grades,Native American,1212,202,435,370,205,16.7,35.9,30.5,16.9,52.6,47.4
2013,0,State,0,State,Math,All Grades,Hawaiian or Pacific Islander,600,62,184,221,133,10.3,30.7,36.8,22.2,41,59
2013,0,State,0,State,Math,All Grades,Economically Disadvantaged,252164,53430,100037,69284,29413,21.1,39.7,27.5,11.7,60.8,39.2
2013,0,State,0,State,Math,All Grades,Students with Disabilities,60067,20591,21746,10722,7008,34.2,36.2,17.9,11.7,70.4,29.6
2013,0,State,0,State,Math,All Grades,English Language Learners,10879,3259,4915,2174,531,29.9,45.2,20,4.9,75.1,24.9
2013,0,State,0,State,Math,All Grades,English Language Learners with T1/T2,17121,3977,7337,4375,1432,23.1,42.9,25.6,8.4,66,34
2013,0,State,0,State,Math,All Grades,Black/Hispanic/Native American,135524,32476,55532,34287,13229,23.9,41,25.3,9.8,64.9,35.1
2013,0,State,0,State,Math,3,All Students,74456,4970,25503,28769,15214,6.7,34.3,38.6,20.4,41,59
2013,0,State,0,State,Math,3,White,49313,2375,14500,20383,12055,4.9,29.4,41.3,24.4,34.3,65.7
2013,0,State,0,State,Math,3,Hispanic,5943,421,2475,2226,821,7.1,41.6,37.5,13.8,48.7,51.3
2013,0,State,0,State,Math,3,Black,17297,2123,8158,5393,1623,12.2,47.2,31.2,9.4,59.4,40.6
2013,0,State,0,State,Math,3,Asian,1579,37,258,634,650,2.3,16.3,40.2,41.2,18.6,81.4
2013,0,State,0,State,Math,3,Native American,210,12,75,87,36,5.8,35.7,41.4,17.1,41.5,58.5
2013,0,State,0,State,Math,3,Hawaiian or Pacific Islander,114,2,37,46,29,1.7,32.5,40.4,25.4,34.2,65.8
2013,0,State,0,State,Math,3,Economically Disadvantaged,44208,4119,18758,15779,5552,9.3,42.4,35.7,12.6,51.7,48.3
2013,0,State,0,State,Math,3,Students with Disabilities,10504,1916,4402,2657,1529,18.2,41.9,25.3,14.6,60.1,39.9
2013,0,State,0,State,Math,3,English Language Learners,2904,352,1541,824,187,12.1,53.1,28.4,6.4,65.2,34.8
2013,0,State,0,State,Math,3,English Language Learners with T1/T2,4620,386,2120,1615,499,8.3,45.9,35,10.8,54.2,45.8
2013,0,State,0,State,Math,3,Black/Hispanic/Native American,23450,2556,10708,7706,2480,10.8,45.7,32.9,10.6,56.5,43.5
2013,0,State,0,State,Math,4,All Students,73970,10087,27972,23601,12310,13.7,37.8,31.9,16.6,51.5,48.5
2013,0,State,0,State,Math,4,White,48906,5284,16986,16909,9727,10.8,34.7,34.6,19.9,45.5,54.5
2013,0,State,0,State,Math,4,Hispanic,5631,937,2439,1640,615,16.7,43.3,29.1,10.9,60,40
2013,0,State,0,State,Math,4,Black,17575,3742,8108,4432,1293,21.3,46.1,25.2,7.4,67.4,32.6
2013,0,State,0,State,Math,4,Asian,1563,85,335,521,622,5.5,21.4,33.3,39.8,26.9,73.1
2013,0,State,0,State,Math,4,Native American,180,28,67,53,32,15.6,37.2,29.4,17.8,52.8,47.2
2013,0,State,0,State,Math,4,Hawaiian or Pacific Islander,115,11,37,46,21,9.5,32.2,40,18.3,41.7,58.3
2013,0,State,0,State,Math,4,Economically Disadvantaged,43326,8019,19000,12104,4203,18.5,43.9,27.9,9.7,62.4,37.6
2013,0,State,0,State,Math,4,Students with Disabilities,10766,3000,4583,1887,1296,27.9,42.6,17.5,12,70.5,29.5
2013,0,State,0,State,Math,4,English Language Learners,2651,731,1324,486,110,27.7,49.9,18.3,4.1,77.6,22.4
2013,0,State,0,State,Math,4,English Language Learners with T1/T2,3818,831,1783,920,284,21.8,46.7,24.1,7.4,68.5,31.5
2013,0,State,0,State,Math,4,Black/Hispanic/Native American,23386,4707,10614,6125,1940,20.1,45.4,26.2,8.3,65.5,34.5
2013,0,State,0,State,Math,5,All Students,73954,9705,22307,25889,16053,13.1,30.2,35,21.7,43.3,56.7
2013,0,State,0,State,Math,5,White,49368,5298,13307,18077,12686,10.7,27,36.6,25.7,37.7,62.3
2013,0,State,0,State,Math,5,Hispanic,5356,798,1813,1908,837,15,33.8,35.6,15.6,48.8,51.2
2013,0,State,0,State,Math,5,Black,17516,3507,6882,5332,1795,20.1,39.3,30.4,10.2,59.4,40.6
2013,0,State,0,State,Math,5,Asian,1419,59,217,470,673,4.2,15.3,33.1,47.4,19.5,80.5
2013,0,State,0,State,Math,5,Native American,205,36,67,63,39,17.6,32.7,30.7,19,50.3,49.7
2013,0,State,0,State,Math,5,Hawaiian or Pacific Islander,90,7,21,39,23,7.8,23.3,43.3,25.6,31.1,68.9
2013,0,State,0,State,Math,5,Economically Disadvantaged,42933,7664,15324,14031,5914,17.8,35.7,32.7,13.8,53.5,46.5
2013,0,State,0,State,Math,5,Students with Disabilities,10568,3369,3665,2170,1364,31.9,34.7,20.5,12.9,66.6,33.4
2013,0,State,0,State,Math,5,English Language Learners,2039,551,860,520,108,27,42.2,25.5,5.3,69.2,30.8
2013,0,State,0,State,Math,5,English Language Learners with T1/T2,2845,613,1072,876,284,21.5,37.7,30.8,10,59.2,40.8
2013,0,State,0,State,Math,5,Black/Hispanic/Native American,23077,4341,8762,7303,2671,18.8,38,31.6,11.6,56.8,43.2
2013,0,State,0,State,Math,6,All Students,74542,14242,27024,18846,14430,19,36.3,25.3,19.4,55.3,44.7
2013,0,State,0,State,Math,6,White,49965,7212,17322,13984,11447,14.4,34.7,28,22.9,49.1,50.9
2013,0,State,0,State,Math,6,Hispanic,5159,1186,2107,1184,682,23,40.8,23,13.2,63.8,36.2
2013,0,State,0,State,Math,6,Black,17706,5687,7219,3224,1576,32.1,40.8,18.2,8.9,72.9,27.1
2013,0,State,0,State,Math,6,Asian,1391,98,268,357,668,7,19.3,25.7,48,26.3,73.7
2013,0,State,0,State,Math,6,Native American,212,48,76,58,30,22.6,35.8,27.4,14.2,58.4,41.6
2013,0,State,0,State,Math,6,Hawaiian or Pacific Islander,109,11,32,39,27,10,29.4,35.8,24.8,39.4,60.6
2013,0,State,0,State,Math,6,Economically Disadvantaged,42672,11125,17491,9324,4732,26,41,21.9,11.1,67,33
2013,0,State,0,State,Math,6,Students with Disabilities,10161,4140,3337,1659,1025,40.8,32.8,16.3,10.1,73.6,26.4
2013,0,State,0,State,Math,6,English Language Learners,1297,650,471,138,38,50.2,36.3,10.6,2.9,86.5,13.5
2013,0,State,0,State,Math,6,English Language Learners with T1/T2,2562,877,1092,432,161,34.2,42.6,16.9,6.3,76.8,23.2
2013,0,State,0,State,Math,6,Black/Hispanic/Native American,23077,6921,9402,4466,2288,30,40.7,19.4,9.9,70.7,29.3
2013,0,State,0,State,Math,7,All Students,73937,14951,24351,20641,13994,20.3,32.9,27.9,18.9,53.2,46.8
2013,0,State,0,State,Math,7,White,49865,7642,15505,15392,11326,15.3,31.1,30.9,22.7,46.4,53.6
2013,0,State,0,State,Math,7,Hispanic,4621,1034,1723,1264,600,22.3,37.3,27.4,13,59.6,40.4
2013,0,State,0,State,Math,7,Black,17905,6111,6755,3553,1486,34.2,37.7,19.8,8.3,71.9,28.1
2013,0,State,0,State,Math,7,Asian,1230,109,251,350,520,8.8,20.4,28.5,42.3,29.2,70.8
2013,0,State,0,State,Math,7,Native American,219,38,87,54,40,17.3,39.7,24.7,18.3,57,43
2013,0,State,0,State,Math,7,Hawaiian or Pacific Islander,97,17,30,28,22,17.5,30.9,28.9,22.7,48.4,51.6
2013,0,State,0,State,Math,7,Economically Disadvantaged,41643,11328,15543,10095,4677,27.3,37.3,24.2,11.2,64.6,35.4
2013,0,State,0,State,Math,7,Students with Disabilities,9298,3980,3104,1277,937,42.8,33.4,13.7,10.1,76.2,23.8
